"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0098655","cation transmembrane transport",5,4,1.58,2,"0.036","0.032","0.032"
"GO:0098660","inorganic ion transmembrane transport",5,4,1.58,3,"0.036","0.032","0.032"
"GO:0098662","inorganic cation transmembrane transport",5,4,1.58,4,"0.036","0.032","0.032"
"GO:0022613","ribonucleoprotein complex biogenesis",3,3,0.95,1,"0.031","0.035","0.035"
"GO:0055114","oxidation-reduction process",9,5,2.85,20,"0.116","0.055","0.055"
