"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0007018","microtubule-based movement",3,3,1.05,2,"0.042","0.0075","0.0075"
"GO:0006464","cellular protein modification process",24,9,8.44,138,"0.482","0.0108","0.0108"
"GO:0036211","protein modification process",24,9,8.44,139,"0.482","0.0108","0.0108"
"GO:0016310","phosphorylation",16,8,5.63,13,"0.152","0.0235","0.0235"
"GO:0044283","small molecule biosynthetic process",6,5,2.11,1,"0.021","0.0302","0.0302"
