"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0000904","cell morphogenesis involved in different...",4,0,0.26,168,"1","0.013","0.013"
"GO:0006955","immune response",4,0,0.26,169,"1","0.013","0.013"
"GO:0007409","axonogenesis",4,0,0.26,170,"1","0.013","0.013"
"GO:0048667","cell morphogenesis involved in neuron di...",4,0,0.26,171,"1","0.013","0.013"
"GO:0050776","regulation of immune response",4,0,0.26,172,"1","0.013","0.013"
