"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006366","transcription by RNA polymerase II",4,0,0.19,118,"1","0.019","0.019"
"GO:0032259","methylation",3,0,0.14,119,"1","0.027","0.027"
"GO:0005975","carbohydrate metabolic process",6,0,0.28,120,"1","0.038","0.038"
"GO:0006357","regulation of transcription by RNA polym...",3,0,0.14,121,"1","0.052","0.052"
"GO:0045184","establishment of protein localization",10,0,0.47,122,"1","0.060","0.060"
